,id_especie,nome_cientifico,nome_popular_1,genero,especie,familia,densidade_basica,contracao_tangencial,contracao_radial,contracao_volumetrica,relacao_tangencial_radial,flexao_seca_moe,flexao_seca_mor,compressao_paralela_seca,dureza_janka_paralela_seca,dureza_janka_transversal_seca,cisalhamento_seca,cor_cerne_classificacao,textura,gra,brilho,cerne_alburno,figura_tangencial,secagem_duracao_dias
28,20,Astronium graveolens = Astronium gracile,AROEIRA,Astronium,graveolens,Anacardiaceae,0.73,8.0,5.3,11.9,1.51,15.98,130.72,70.12,8247.41,7747.27,16.77,marrom,média,cruzada revessa e cruzada ondulada,moderado,distintos,não apresenta,
29,301,Astronium lecointei,MUIRACATIARA-RAJADA,Astronium,lecointei,Anacardiaceae,0.79,7.6,4.6,11.9,1.65,15.0,136.41,82.38,8737.75,9590.93,16.77,marrom,média a fina,cruzada ondulada e cruzada levemente revessa,ausente,distintos,em forma de V causada por anéis de crescimento destacados,2
30,23,Astronium ulei,MUIRACATIARA,Astronium,ulei,Anacardiaceae,0.71,8.1,4.3,12.2,1.88,13.44,115.23,69.14,8139.54,7492.3,16.77,vermelha,média,cruzada irregular,ausente,pouco distintos,"em faixas irregulares longitudinais bem destacadas,causadas por anéis de crescimento",
31,29,Bowdichia nitida,SUCUPIRA,Bowdichia,nitida,Fabaceae,0.85,9.0,6.0,14.7,1.5,17.95,182.11,92.28,14847.31,15200.35,19.02,marrom,média à grossa,cruzada irregular,moderado,distintos,"de aspecto fibroso acentuado, causado por destaque de parênquima axial e linhas vasculares",1
32,32,Brosimum alicastrum,JANITÁ ,Brosimum,alicastrum,Moraceae,0.74,9.4,5.6,16.0,1.68,15.98,152.69,86.2,11287.48,9159.43,14.81,amarela,média,direira,acentuado,indistintos,"em linhas longitudinais pouco destacadas, causadas por anéis de crescimento",
33,57,Chamaecrista scleroxylon = Cassia scleroxylon,MUIRAPIXUNA,Chamaecrista,scleroxylon,Caesalpiniaceae,1.01,8.2,3.6,11.5,2.28,16.38,180.83,96.3,14543.3,15278.8,19.91,preta,média,direita a cruzada levemente ondulada,moderado,distintos,não apresenta,2
34,206,Chrysophyllum lucentifolium = Pouteria pachycarpa,GOIABÃO,Chrysophyllum,lucentifolium,Sapotaceae,0.74,12.6,6.5,18.1,1.94,16.87,161.61,82.57,12091.63,10718.7,16.77,amarela,fina,cruzada irregular,moderado,indistintos,em linhas longitudinais causadas por anéis de crescimento,2
35,64,Clarisia racemosa,GUARIÚBA,Clarisia,racemosa,Moraceae,0.6,6.2,3.1,10.0,2.0,12.16,108.85,64.53,7835.53,6119.37,11.67,amarela,média,cruzada revessa,moderado,distintos,causada por linhas vasculares destacadas,55
36,79,Couratari oblongifolia,TAUARI,Couratari,oblongifolia,Lecythidaceae,0.5,6.6,4.2,10.9,1.57,10.89,83.06,44.62,5776.13,4599.33,10.4,branca,média,direita,ausente,indistintos,"em forma de V, causada por anéis de crescimento",2
37,82,Dialium guianense,JATAIPEBA,Dialium,guianense,Caesalpiniaceae,0.88,8.9,5.1,14.5,1.75,17.16,188.58,90.42,16867.48,16122.17,22.36,marrom,media,cruzada revessa,ausente,distintos,não apresenta,
38,86,Dinizia excelsa,ANGELIM-VERMELHO,Dinizia,excelsa,Mimosaceae,0.83,9.5,5.7,14.5,1.67,16.97,156.91,85.61,14317.75,13543.02,17.65,marrom,média,cruzada revessa,moderado,pouco distintos,causadas por linhas vasculares destacadas,55
39,87,Diploon cuspidatum = Diploon venezuelana,ABIURANA-SECA,Diploon,cuspidatum,Sapotaceae,0.85,10.1,7.1,15.7,1.42,17.75,186.91,96.4,11826.85,13101.72,19.61,marrom,fina,direita,ausente,pouco distintos a indistintos,"em forma de V, causada por anéis de crescimento destacados",
40,89,Dipteryx odorata,CUMARU,Dipteryx,odorata,Fabaceae,0.91,8.4,5.4,13.5,1.56,17.95,172.99,96.79,13131.14,15700.49,21.97,marrom,média a fina,cruzada revessa,ausente,distintos,causada por linhas vasculares destacadas,6
